,Root,Dirs,Files
0,/Volumes/home/__VIDEOS,"['Video_analog+', 'Video_contour+', 'Video_source+', 'Contour_Library+', '_My Video+', 'мideo_contour+']",['.DS_Store']
1,/Volumes/home/__VIDEOS/Video_analog+,"['01 Испания', '2004 Меласс', '200808 Хорватия', '20080825 ЯК-18Т', 'EyeTV Archive', 'QuickTime', 'Вадим 200011', 'Запись в прямом вещании - 25.06.2011 22_15.eyetv', 'Новый Год 2002', 'VHS Video Катина мама', '8мм Cinema']","['.DS_Store', '.Испания_Адорра_(pinnacle).mov.nfo', '._Испания_Адорра_(pinnacle).mov.deadbolt', 'Испания_Адорра_(pinnacle).mov.deadbolt']"
2,/Volumes/home/__VIDEOS/Video_analog+/01 Испания,[],"['Испания 03.mov.deadbolt', 'Испания 04.mov.deadbolt', 'Испания 05.mov.deadbolt', 'Испания 06.mov.deadbolt', 'Испания 08.mov.deadbolt', 'Испания 09.mov.deadbolt', 'Испания 10.mov.deadbolt', 'Испания 11.mov.deadbolt', '.Испания 08.mov.nfo', '.Испания 03.mov.nfo', '.Испания 05.mov.nfo', '.Испания 09.mov.nfo', '.Испания 04.mov.nfo', '.Испания 02.mov.nfo', '.Испания 10.mov.nfo', '.Испания 11.mov.nfo', '.Испания 01.mov.nfo', '.Испания 06.mov.nfo', '.Испания 07.mov.nfo', '._Испания 01.mov.deadbolt', 'Испания 01.mov.deadbolt', 'Испания 02.mov.deadbolt', 'Испания 07.mov.deadbolt']"
3,/Volumes/home/__VIDEOS/Video_analog+/2004 Меласс,[],"['2004_Меласс_03.mov.deadbolt', '2004_Меласс_04.mov.deadbolt', '.2004_Меласс_01.mov.nfo', '.2004_Меласс_04.mov.nfo', '.2004_Меласс_03.mov.nfo', '.2004_Меласс_02.mov.nfo', '2004_Меласс_01.mov.deadbolt', '2004_Меласс_02.mov.deadbolt']"
4,/Volumes/home/__VIDEOS/Video_analog+/200808 Хорватия,[],"['.DS_Store', 'Хорватия 02.mov.deadbolt', 'Хорватия 03.mov.deadbolt', 'Хорватия 04.mov.deadbolt', '.Хорватия 01.mov.nfo', '.Хорватия 03.mov.nfo', '.Хорватия 04.mov.nfo', '._Хорватия 02.mov.deadbolt', '._Хорватия 03.mov.deadbolt', '._Хорватия 04.mov.deadbolt', 'Видеозапись.mov.deadbolt', '.Видеозапись.mov.nfo', '.Хорватия 02.mov.nfo', '._Видеозапись.mov.deadbolt', '._Хорватия 01.mov.deadbolt', 'Хорватия 01.mov.deadbolt']"
5,/Volumes/home/__VIDEOS/Video_analog+/20080825 ЯК-18Т,[],"['.ЯК-18 02 Юля.mov.nfo', '.ЯК-18 01.mov.nfo', 'ЯК-18 01.mov.deadbolt', 'ЯК-18 02 Юля.mov.deadbolt']"
6,/Volumes/home/__VIDEOS/Video_analog+/EyeTV Archive,"['.EyeTVPlaylists', 'Запись в прямом вещании - 25.06.2011 22_47.eyetv', 'Запись в прямом вещании - 27.06.2011 19_13.eyetv', 'Запись в прямом вещании - 27.06.2011 21_19.eyetv']","['EyeTV Archive.xml', '.DS_Store']"
7,/Volumes/home/__VIDEOS/Video_analog+/EyeTV Archive/.EyeTVPlaylists,[],"['PlaylistsPreferences.xml', 'Записываю сейчас.eyetvsl', 'На прошлой неделе.eyetvsl', 'Экспортирую.eyetvsl']"
8,/Volumes/home/__VIDEOS/Video_analog+/EyeTV Archive/Запись в прямом вещании - 25.06.2011 22_47.eyetv,[],"['0000000013b664c9.eyetvi', '0000000013b664c9.eyetvp', '0000000013b664c9.eyetvr', '0000000013b664c9.tiff.deadbolt', '.0000000013b664c9.mpg.nfo', '0000000013b664c9.mpg.deadbolt', '0000000013b664c9.thumbnail.tiff.deadbolt']"
9,/Volumes/home/__VIDEOS/Video_analog+/EyeTV Archive/Запись в прямом вещании - 27.06.2011 19_13.eyetv,[],"['0000000013b8d586.eyetvi', '0000000013b8d586.eyetvp', '0000000013b8d586.eyetvr', '0000000013b8d586.tiff.deadbolt', '.0000000013b8d586.mpg.nfo', '0000000013b8d586.mpg.deadbolt', '0000000013b8d586.thumbnail.tiff.deadbolt']"
